,No,year,month,day,hour,season,HUMI,TEMP,cbwd,TEMP_new,cbwd_new_bfill,cbwd_new_ffill
31338,31339,2013,7,29,18,2,79.25,30.0,SW,30.0,SW,SW
31339,31340,2013,7,29,19,2,83.94,29.0,SE,29.0,SE,SE
31340,31341,2013,7,29,20,2,83.94,29.0,SW,29.0,SW,SW
31341,31342,2013,7,29,21,2,88.94,28.0,SW,28.0,SW,SW
31342,31343,2013,7,29,22,2,83.71,27.0,SE,27.0,SE,SE
31343,31344,2013,7,29,23,2,83.6,26.0,SE,26.0,SE,SE
31344,31345,2013,7,30,0,2,83.6,26.0,SE,26.0,SE,SE
31345,31346,2013,7,30,1,2,83.6,26.0,SE,26.0,SE,SE
31346,31347,2013,7,30,2,2,83.6,26.0,SW,26.0,SW,SW
31347,31348,2013,7,30,3,2,83.48,25.0,SW,25.0,SW,SW
31348,31349,2013,7,30,4,2,88.7,25.0,SE,25.0,SE,SE
31349,31350,2013,7,30,5,2,83.48,25.0,SE,25.0,SE,SE
31350,31351,2013,7,30,6,2,88.62,24.0,SW,24.0,SW,SW
31351,31352,2013,7,30,7,2,88.62,24.0,SE,24.0,SE,SE
31352,31353,2013,7,30,8,2,88.62,24.0,SE,24.0,SE,SE
31353,31354,2013,7,30,9,2,88.7,25.0,SW,25.0,SW,SW
31354,31355,2013,7,30,10,2,94.16,24.0,SE,24.0,SE,SE
31355,31356,2013,7,30,11,2,88.7,25.0,SE,25.0,SE,SE
31356,31357,2013,7,30,12,2,74.02,26.0,SE,26.0,SE,SE
31357,31358,2013,7,30,13,2,74.19,27.0,SE,27.0,SE,SE
31358,31359,2013,7,30,14,2,69.98,28.0,SE,28.0,SE,SE
31359,31360,2013,7,30,15,2,74.19,27.0,SE,27.0,SE,SE
31360,31361,2013,7,30,16,2,69.79,27.0,SE,27.0,SE,SE
31361,31362,2013,7,30,17,2,74.19,27.0,SE,27.0,SE,SE
31362,31363,2013,7,30,18,2,74.02,26.0,SE,26.0,SE,SE
31363,31364,2013,7,30,19,2,78.53,25.0,SE,25.0,SE,SE
31364,31365,2013,7,30,20,2,83.37,24.0,SE,24.0,SE,SE
31365,31366,2013,7,30,21,2,88.54,23.0,SW,23.0,SW,SW
31366,31367,2013,7,30,22,2,94.07,22.0,cv,22.0,cv,cv
31367,31368,2013,7,30,23,2,94.03,21.0,cv,21.0,cv,cv
31368,31369,2013,7,31,0,2,94.03,21.0,NE,21.0,NE,NE
31369,31370,2013,7,31,1,2,94.03,21.0,NE,21.0,NE,NE
31370,31371,2013,7,31,2,2,100.0,20.0,SE,20.0,SE,SE
31371,31372,2013,7,31,3,2,100.0,20.0,SE,20.0,SE,SE
31372,31373,2013,7,31,4,2,100.0,19.0,NW,19.0,NW,NW
31373,31374,2013,7,31,5,2,100.0,19.0,SE,19.0,SE,SE
31374,31375,2013,7,31,6,2,100.0,20.0,cv,20.0,cv,cv
31375,31376,2013,7,31,7,2,94.07,22.0,SE,22.0,SE,SE
31376,31377,2013,7,31,8,2,83.48,25.0,cv,25.0,cv,cv
31377,31378,2013,7,31,9,2,78.68,26.0,SE,26.0,SE,SE
31378,31379,2013,7,31,10,2,69.98,28.0,cv,28.0,cv,cv
31379,31380,2013,7,31,11,2,69.98,28.0,cv,28.0,cv,cv
31380,31381,2013,7,31,12,2,62.13,29.0,SE,29.0,SE,SE
31381,31382,2013,7,31,13,2,62.57,31.0,SE,31.0,SE,SE
31382,31383,2013,7,31,14,2,62.57,31.0,cv,31.0,cv,cv
31383,31384,2013,7,31,15,2,58.89,31.0,SW,31.0,SW,SW
31384,31385,2013,7,31,16,2,58.89,31.0,SW,31.0,SW,SW
31385,31386,2013,7,31,17,2,58.89,31.0,SW,31.0,SW,SW
31386,31387,2013,7,31,18,2,70.36,30.0,SW,30.0,SW,SW
31387,31388,2013,7,31,19,2,88.78,26.0,SW,26.0,SW,SW
31388,31389,2013,7,31,20,2,83.6,26.0,cv,26.0,cv,cv
31389,31390,2013,7,31,21,2,83.6,26.0,SW,26.0,SW,SW
31390,31391,2013,7,31,22,2,88.7,25.0,SE,25.0,SE,SE
31391,31392,2013,7,31,23,2,94.16,24.0,SW,24.0,SW,SW
31392,31393,2013,8,1,0,2,94.16,24.0,SW,24.0,SW,SW
31393,31394,2013,8,1,1,2,94.16,24.0,SE,24.0,SE,SE
31394,31395,2013,8,1,2,2,94.16,24.0,SE,24.0,SE,SE
31395,31396,2013,8,1,3,2,100.0,23.0,SE,23.0,SE,SE
31396,31397,2013,8,1,4,2,100.0,23.0,SE,23.0,SE,SE
31397,31398,2013,8,1,5,2,100.0,23.0,SE,23.0,SE,SE
31398,31399,2013,8,1,6,2,94.16,24.0,SE,24.0,SE,SE
31399,31400,2013,8,1,7,2,83.6,26.0,SE,26.0,SE,SE
31400,31401,2013,8,1,8,2,74.35,28.0,SE,28.0,SE,SE
31401,31402,2013,8,1,9,2,70.17,29.0,SW,29.0,SW,SW
31402,31403,2013,8,1,10,2,66.25,30.0,SW,30.0,SW,SW
31403,31404,2013,8,1,11,2,66.25,30.0,SW,30.0,SW,SW
31404,31405,2013,8,1,12,2,62.57,31.0,SW,31.0,SW,SW
31405,31406,2013,8,1,13,2,59.13,32.0,SW,32.0,SW,SW
31406,31407,2013,8,1,14,2,62.79,32.0,SW,32.0,SW,SW
31407,31408,2013,8,1,15,2,62.57,31.0,SW,31.0,SW,SW
31408,31409,2013,8,1,16,2,66.45,31.0,SW,31.0,SW,SW
31409,31410,2013,8,1,17,2,66.45,31.0,SW,31.0,SW,SW
31410,31411,2013,8,1,18,2,70.36,30.0,SW,30.0,SW,SW
31411,31412,2013,8,1,19,2,74.35,28.0,SW,28.0,SW,SW
31412,31413,2013,8,1,20,2,78.82,27.0,SE,27.0,SE,SE
31413,31414,2013,8,1,21,2,83.6,26.0,SW,26.0,SW,SW
31414,31415,2013,8,1,22,2,88.7,25.0,SE,25.0,SE,SE
31415,31416,2013,8,1,23,2,88.7,25.0,SE,25.0,SE,SE
31416,31417,2013,8,2,0,2,88.7,25.0,SE,25.0,SE,SE
31417,31418,2013,8,2,1,2,88.62,24.0,SE,24.0,SE,SE
31418,31419,2013,8,2,2,2,94.12,23.0,cv,23.0,cv,cv
31419,31420,2013,8,2,3,2,88.62,24.0,SE,24.0,SE,SE
31420,31421,2013,8,2,4,2,88.62,24.0,SE,24.0,SE,SE
31421,31422,2013,8,2,5,2,88.62,24.0,SE,24.0,SE,SE
31422,31423,2013,8,2,6,2,88.62,24.0,SE,24.0,SE,SE
31423,31424,2013,8,2,7,2,83.48,25.0,SW,25.0,SW,SW
31424,31425,2013,8,2,8,2,78.68,26.0,SW,26.0,SW,SW
31425,31426,2013,8,2,9,2,78.68,26.0,SW,26.0,SW,SW
31426,31427,2013,8,2,10,2,69.98,28.0,SW,28.0,SW,SW
31427,31428,2013,8,2,11,2,69.98,28.0,SW,28.0,SW,SW
31428,31429,2013,8,2,12,2,66.04,29.0,SW,29.0,SW,SW
31429,31430,2013,8,2,13,2,70.17,29.0,SW,29.0,SW,SW
31430,31431,2013,8,2,14,2,66.25,30.0,SW,30.0,SW,SW
31431,31432,2013,8,2,15,2,62.57,31.0,SW,31.0,SW,SW
31432,31433,2013,8,2,16,2,66.25,30.0,SW,30.0,SW,SW
31433,31434,2013,8,2,17,2,70.36,30.0,SW,30.0,SW,SW
31434,31435,2013,8,2,18,2,74.52,29.0,SW,29.0,SW,SW
31435,31436,2013,8,2,19,2,83.71,27.0,SW,27.0,SW,SW
31436,31437,2013,8,2,20,2,88.78,26.0,SW,26.0,SW,SW
31437,31438,2013,8,2,21,2,83.6,26.0,SW,26.0,SW,SW
31438,31439,2013,8,2,22,2,83.6,26.0,SW,26.0,SW,SW
31439,31440,2013,8,2,23,2,88.7,25.0,SW,25.0,SW,SW
31440,31441,2013,8,3,0,2,88.7,25.0,SW,25.0,SW,SW
31441,31442,2013,8,3,1,2,88.7,25.0,SW,25.0,SW,SW
31442,31443,2013,8,3,2,2,88.7,25.0,SW,25.0,SW,SW
31443,31444,2013,8,3,3,2,94.16,24.0,SW,24.0,SW,SW
31444,31445,2013,8,3,4,2,88.7,25.0,SW,25.0,SW,SW
31445,31446,2013,8,3,5,2,88.7,25.0,SW,25.0,SW,SW
31446,31447,2013,8,3,6,2,88.7,25.0,SW,25.0,SW,SW
31447,31448,2013,8,3,7,2,83.6,26.0,SW,26.0,SW,SW
31448,31449,2013,8,3,8,2,83.71,27.0,SW,27.0,SW,SW
31449,31450,2013,8,3,9,2,78.97,28.0,SW,28.0,SW,SW
31450,31451,2013,8,3,10,2,74.52,29.0,SW,29.0,SW,SW
31451,31452,2013,8,3,11,2,70.36,30.0,SW,30.0,SW,SW
31452,31453,2013,8,3,12,2,74.69,30.0,SW,30.0,SW,SW
31453,31454,2013,8,3,13,2,70.36,30.0,SW,30.0,SW,SW
31454,31455,2013,8,3,14,2,70.36,30.0,SW,30.0,SW,SW
31455,31456,2013,8,3,15,2,88.86,27.0,SW,27.0,SW,SW
31456,31457,2013,8,3,16,2,88.94,28.0,SW,28.0,SW,SW
31457,31458,2013,8,3,17,2,79.11,29.0,SW,29.0,SW,SW
31458,31459,2013,8,3,18,2,83.82,28.0,SW,28.0,SW,SW
31459,31460,2013,8,3,19,2,88.86,27.0,SW,27.0,SW,SW
31460,31461,2013,8,3,20,2,88.78,26.0,SW,26.0,SW,SW
31461,31462,2013,8,3,21,2,94.2,25.0,SW,25.0,SW,SW
31462,31463,2013,8,3,22,2,94.2,25.0,SW,25.0,SW,SW
31463,31464,2013,8,3,23,2,94.2,25.0,SW,25.0,SW,SW
31464,31465,2013,8,4,0,2,88.7,25.0,SW,25.0,SW,SW
31465,31466,2013,8,4,1,2,94.16,24.0,SW,24.0,SW,SW
31466,31467,2013,8,4,2,2,94.12,23.0,SW,23.0,SW,SW
31467,31468,2013,8,4,3,2,94.12,23.0,SW,23.0,SW,SW
31468,31469,2013,8,4,4,2,94.12,23.0,SW,23.0,SW,SW
31469,31470,2013,8,4,5,2,94.12,23.0,SW,23.0,SW,SW
31470,31471,2013,8,4,6,2,94.12,23.0,SW,23.0,SW,SW
31471,31472,2013,8,4,7,2,83.48,25.0,SW,25.0,SW,SW
31472,31473,2013,8,4,8,2,83.6,26.0,SW,26.0,SW,SW
31473,31474,2013,8,4,9,2,78.82,27.0,SW,27.0,SW,SW
31474,31475,2013,8,4,10,2,74.35,28.0,SW,28.0,SW,SW
31475,31476,2013,8,4,11,2,74.52,29.0,SW,29.0,SW,SW
31476,31477,2013,8,4,12,2,70.36,30.0,SW,30.0,SW,SW
31477,31478,2013,8,4,13,2,62.57,31.0,SW,31.0,SW,SW
31478,31479,2013,8,4,14,2,66.45,31.0,SW,31.0,SW,SW
31479,31480,2013,8,4,15,2,62.57,31.0,SW,31.0,SW,SW
31480,31481,2013,8,4,16,2,62.57,31.0,SW,31.0,SW,SW
31481,31482,2013,8,4,17,2,70.36,30.0,SW,30.0,SW,SW
31482,31483,2013,8,4,18,2,78.97,28.0,SW,28.0,SW,SW
31483,31484,2013,8,4,19,2,83.82,28.0,SW,28.0,SW,SW
31484,31485,2013,8,4,20,2,83.71,27.0,SW,27.0,SW,SW
31485,31486,2013,8,4,21,2,83.6,26.0,SW,26.0,SW,SW
31486,31487,2013,8,4,22,2,83.6,26.0,SW,26.0,SW,SW
31487,31488,2013,8,4,23,2,83.6,26.0,SW,26.0,SW,SW
31488,31489,2013,8,5,0,2,83.6,26.0,SW,26.0,SW,SW
31489,31490,2013,8,5,1,2,78.82,27.0,SW,27.0,SW,SW
31490,31491,2013,8,5,2,2,78.82,27.0,SW,27.0,SW,SW
31491,31492,2013,8,5,3,2,88.54,23.0,NE,23.0,NE,NE
31492,31493,2013,8,5,4,2,94.03,21.0,SW,21.0,SW,SW
31493,31494,2013,8,5,5,2,94.03,21.0,SE,21.0,SE,SE
31494,31495,2013,8,5,6,2,100.0,21.0,SE,21.0,SE,SE
31495,31496,2013,8,5,7,2,94.07,22.0,SE,22.0,SE,SE
31496,31497,2013,8,5,8,2,88.54,23.0,SE,23.0,SE,SE
31497,31498,2013,8,5,9,2,88.62,24.0,SE,24.0,SE,SE
31498,31499,2013,8,5,10,2,83.48,25.0,cv,25.0,cv,cv
31499,31500,2013,8,5,11,2,83.6,26.0,SW,26.0,SW,SW
31500,31501,2013,8,5,12,2,74.19,27.0,SW,27.0,SW,SW
31501,31502,2013,8,5,13,2,70.17,29.0,SW,29.0,SW,SW
31502,31503,2013,8,5,14,2,78.82,27.0,SW,27.0,SW,SW
31503,31504,2013,8,5,15,2,69.98,28.0,SW,28.0,SW,SW
31504,31505,2013,8,5,16,2,74.35,28.0,SW,28.0,SW,SW
31505,31506,2013,8,5,17,2,69.98,28.0,cv,28.0,cv,cv
31506,31507,2013,8,5,18,2,78.82,27.0,cv,27.0,cv,cv
31507,31508,2013,8,5,19,2,83.6,26.0,SW,26.0,SW,SW
31508,31509,2013,8,5,20,2,88.7,25.0,cv,25.0,cv,cv
31509,31510,2013,8,5,21,2,94.16,24.0,SW,24.0,SW,SW
31510,31511,2013,8,5,22,2,94.16,24.0,SW,24.0,SW,SW
31511,31512,2013,8,5,23,2,88.62,24.0,SW,24.0,SW,SW
31512,31513,2013,8,6,0,2,94.12,23.0,SW,23.0,SW,SW
31513,31514,2013,8,6,1,2,88.54,23.0,SW,23.0,SW,SW
31514,31515,2013,8,6,2,2,94.07,22.0,SW,22.0,SW,SW
31515,31516,2013,8,6,3,2,94.07,22.0,SW,22.0,SW,SW
31516,31517,2013,8,6,4,2,94.07,22.0,SE,22.0,SE,SE
31517,31518,2013,8,6,5,2,88.45,22.0,SW,22.0,SW,SW
31518,31519,2013,8,6,6,2,88.54,23.0,SE,23.0,SE,SE
31519,31520,2013,8,6,7,2,83.48,25.0,SW,25.0,SW,SW
31520,31521,2013,8,6,8,2,83.6,26.0,SW,26.0,SW,SW
31521,31522,2013,8,6,9,2,78.82,27.0,SW,27.0,SW,SW
31522,31523,2013,8,6,10,2,78.97,28.0,SW,28.0,SW,SW
31523,31524,2013,8,6,11,2,74.52,29.0,SE,29.0,SE,SE
31524,31525,2013,8,6,12,2,70.36,30.0,SW,30.0,SW,SW
31525,31526,2013,8,6,13,2,74.69,30.0,SW,30.0,SW,SW
31526,31527,2013,8,6,14,2,66.45,31.0,SW,31.0,SW,SW
31527,31528,2013,8,6,15,2,70.36,30.0,SW,30.0,SW,SW
31528,31529,2013,8,6,16,2,74.69,30.0,SW,30.0,SW,SW
31529,31530,2013,8,6,17,2,74.69,30.0,SW,30.0,SW,SW
31530,31531,2013,8,6,18,2,83.82,28.0,SE,28.0,SE,SE
31531,31532,2013,8,6,19,2,83.71,27.0,SW,27.0,SW,SW
31532,31533,2013,8,6,20,2,88.78,26.0,SE,26.0,SE,SE
31533,31534,2013,8,6,21,2,88.78,26.0,SE,26.0,SE,SE
31534,31535,2013,8,6,22,2,88.78,26.0,SE,26.0,SE,SE
31535,31536,2013,8,6,23,2,88.78,26.0,SW,26.0,SW,SW
31536,31537,2013,8,7,0,2,88.78,26.0,SE,26.0,SE,SE
31537,31538,2013,8,7,1,2,88.78,26.0,SW,26.0,SW,SW
31538,31539,2013,8,7,2,2,88.86,27.0,SW,27.0,SW,SW
31539,31540,2013,8,7,3,2,94.25,26.0,SW,26.0,SW,SW
31540,31541,2013,8,7,4,2,94.25,26.0,SW,26.0,SW,SW
31541,31542,2013,8,7,5,2,88.78,26.0,SE,26.0,SE,SE
31542,31543,2013,8,7,6,2,94.25,26.0,SE,26.0,SE,SE
31543,31544,2013,8,7,7,2,88.94,28.0,SW,28.0,SW,SW
31544,31545,2013,8,7,8,2,83.94,29.0,SW,29.0,SW,SW
31545,31546,2013,8,7,9,2,89.02,29.0,SW,29.0,SW,SW
31546,31547,2013,8,7,10,2,84.05,30.0,SW,30.0,SW,SW
31547,31548,2013,8,7,11,2,75.01,32.0,SW,32.0,SW,SW
31548,31549,2013,8,7,12,2,75.01,32.0,SW,32.0,SW,SW
31549,31550,2013,8,7,13,2,75.01,32.0,SW,32.0,SW,SW
31550,31551,2013,8,7,14,2,75.17,33.0,SW,33.0,SW,SW
31551,31552,2013,8,7,15,2,75.01,32.0,SW,32.0,SW,SW
31552,31553,2013,8,7,16,2,75.01,32.0,SW,32.0,SW,SW
31553,31554,2013,8,7,17,2,88.7,25.0,SE,25.0,SE,SE
31554,31555,2013,8,7,18,2,88.78,26.0,NE,26.0,NE,NE
31555,31556,2013,8,7,19,2,94.2,25.0,SE,25.0,SE,SE
31556,31557,2013,8,7,20,2,94.2,25.0,SE,25.0,SE,SE
31557,31558,2013,8,7,21,2,94.25,26.0,SE,26.0,SE,SE
31558,31559,2013,8,7,22,2,100.0,25.0,SW,25.0,SW,SW
31559,31560,2013,8,7,23,2,94.25,26.0,SW,26.0,SW,SW
31560,31561,2013,8,8,0,2,94.25,26.0,SW,26.0,SW,SW
31561,31562,2013,8,8,1,2,94.25,26.0,SE,26.0,SE,SE
31562,31563,2013,8,8,2,2,94.25,26.0,SE,26.0,SE,SE
31563,31564,2013,8,8,3,2,94.25,26.0,SW,26.0,SW,SW
31564,31565,2013,8,8,4,2,94.2,25.0,SW,25.0,SW,SW
31565,31566,2013,8,8,5,2,94.16,24.0,SW,24.0,SW,SW
31566,31567,2013,8,8,6,2,88.62,24.0,SW,24.0,SW,SW
31567,31568,2013,8,8,7,2,94.16,24.0,SW,24.0,SW,SW
31568,31569,2013,8,8,8,2,88.7,25.0,SW,25.0,SW,SW
31569,31570,2013,8,8,9,2,94.16,24.0,SW,24.0,SW,SW
31570,31571,2013,8,8,10,2,94.16,24.0,SW,24.0,SW,SW
31571,31572,2013,8,8,11,2,94.16,24.0,SW,24.0,SW,SW
31572,31573,2013,8,8,12,2,94.2,25.0,SW,25.0,SW,SW
31573,31574,2013,8,8,13,2,94.29,27.0,SW,27.0,SW,SW
31574,31575,2013,8,8,14,2,83.94,29.0,SW,29.0,SW,SW
31575,31576,2013,8,8,15,2,83.94,29.0,SW,29.0,SW,SW
31576,31577,2013,8,8,16,2,83.94,29.0,SW,29.0,SW,SW
31577,31578,2013,8,8,17,2,83.94,29.0,SW,29.0,SW,SW
31578,31579,2013,8,8,18,2,88.94,28.0,SW,28.0,SW,SW
31579,31580,2013,8,8,19,2,88.86,27.0,SW,27.0,SW,SW
31580,31581,2013,8,8,20,2,94.2,25.0,SW,25.0,SW,SW
31581,31582,2013,8,8,21,2,94.2,25.0,SW,25.0,SW,SW
31582,31583,2013,8,8,22,2,100.0,24.0,SW,24.0,SW,SW
31583,31584,2013,8,8,23,2,94.16,24.0,SE,24.0,SE,SE
31584,31585,2013,8,9,0,2,100.0,23.0,SE,23.0,SE,SE
31585,31586,2013,8,9,1,2,94.12,23.0,SW,23.0,SW,SW
31586,31587,2013,8,9,2,2,94.12,23.0,SE,23.0,SE,SE
31587,31588,2013,8,9,3,2,94.12,23.0,SE,23.0,SE,SE
31588,31589,2013,8,9,4,2,100.0,21.0,SE,21.0,SE,SE
31589,31590,2013,8,9,5,2,94.07,22.0,SE,22.0,SE,SE
31590,31591,2013,8,9,6,2,100.0,22.0,SE,22.0,SE,SE
31591,31592,2013,8,9,7,2,94.2,25.0,SE,25.0,SE,SE
31592,31593,2013,8,9,8,2,94.2,25.0,SW,25.0,SW,SW
31593,31594,2013,8,9,9,2,88.78,26.0,SW,26.0,SW,SW
31594,31595,2013,8,9,10,2,78.97,28.0,SW,28.0,SW,SW
31595,31596,2013,8,9,11,2,74.69,30.0,SW,30.0,SW,SW
31596,31597,2013,8,9,12,2,70.54,31.0,SW,31.0,SW,SW
31597,31598,2013,8,9,13,2,70.54,31.0,SW,31.0,SW,SW
31598,31599,2013,8,9,14,2,70.54,31.0,SW,31.0,SW,SW
31599,31600,2013,8,9,15,2,74.85,31.0,SW,31.0,SW,SW
31600,31601,2013,8,9,16,2,74.69,30.0,SW,30.0,SW,SW
31601,31602,2013,8,9,17,2,79.25,30.0,SW,30.0,SW,SW
31602,31603,2013,8,9,18,2,79.11,29.0,SW,29.0,SW,SW
31603,31604,2013,8,9,19,2,83.82,28.0,SW,28.0,SW,SW
31604,31605,2013,8,9,20,2,88.78,26.0,SW,26.0,SW,SW
31605,31606,2013,8,9,21,2,88.78,26.0,SW,26.0,SW,SW
31606,31607,2013,8,9,22,2,94.2,25.0,SW,25.0,SW,SW
31607,31608,2013,8,9,23,2,88.7,25.0,SE,25.0,SE,SE
31608,31609,2013,8,10,0,2,94.16,24.0,SW,24.0,SW,SW
31609,31610,2013,8,10,1,2,100.0,24.0,SW,24.0,SW,SW
31610,31611,2013,8,10,2,2,88.54,23.0,NW,23.0,NW,NW
31611,31612,2013,8,10,3,2,88.37,21.0,SE,21.0,SE,SE
31612,31613,2013,8,10,4,2,88.28,20.0,SW,20.0,SW,SW
31613,31614,2013,8,10,5,2,93.98,20.0,cv,20.0,cv,cv
31614,31615,2013,8,10,6,2,88.37,21.0,NE,21.0,NE,NE
31615,31616,2013,8,10,7,2,88.45,22.0,SE,22.0,SE,SE
31616,31617,2013,8,10,8,2,88.54,23.0,SE,23.0,SE,SE
31617,31618,2013,8,10,9,2,83.6,26.0,SE,26.0,SE,SE
31618,31619,2013,8,10,10,2,78.97,28.0,SW,28.0,SW,SW
31619,31620,2013,8,10,11,2,79.11,29.0,SW,29.0,SW,SW
31620,31621,2013,8,10,12,2,79.25,30.0,SW,30.0,SW,SW
31621,31622,2013,8,10,13,2,74.85,31.0,SW,31.0,SW,SW
31622,31623,2013,8,10,14,2,74.85,31.0,SW,31.0,SW,SW
31623,31624,2013,8,10,15,2,74.85,31.0,SW,31.0,SW,SW
31624,31625,2013,8,10,16,2,74.85,31.0,SW,31.0,SW,SW
31625,31626,2013,8,10,17,2,79.38,31.0,SW,31.0,SW,SW
31626,31627,2013,8,10,18,2,89.02,29.0,SW,29.0,SW,SW
31627,31628,2013,8,10,19,2,94.33,28.0,SW,28.0,SW,SW
31628,31629,2013,8,10,20,2,94.29,27.0,SW,27.0,SW,SW
31629,31630,2013,8,10,21,2,94.29,27.0,SW,27.0,SW,SW
31630,31631,2013,8,10,22,2,94.29,27.0,SE,27.0,SE,SE
31631,31632,2013,8,10,23,2,94.25,26.0,SW,26.0,SW,SW
31632,31633,2013,8,11,0,2,94.25,26.0,SW,26.0,SW,SW
31633,31634,2013,8,11,1,2,88.78,26.0,SE,26.0,SE,SE
31634,31635,2013,8,11,2,2,94.2,25.0,SW,25.0,SW,SW
31635,31636,2013,8,11,3,2,94.2,25.0,SW,25.0,SW,SW
31636,31637,2013,8,11,4,2,94.2,25.0,SW,25.0,SW,SW
31637,31638,2013,8,11,5,2,94.2,25.0,SW,25.0,SW,SW
31638,31639,2013,8,11,6,2,94.2,25.0,SW,25.0,SW,SW
31639,31640,2013,8,11,7,2,83.71,27.0,SE,27.0,SE,SE
31640,31641,2013,8,11,8,2,83.82,28.0,SE,28.0,SE,SE
31641,31642,2013,8,11,9,2,70.36,30.0,SW,30.0,SW,SW
31642,31643,2013,8,11,10,2,70.36,30.0,SW,30.0,SW,SW
31643,31644,2013,8,11,11,2,70.54,31.0,SW,31.0,SW,SW
31644,31645,2013,8,11,12,2,66.66,32.0,SW,32.0,SW,SW
31645,31646,2013,8,11,13,2,70.73,32.0,SW,32.0,SW,SW
31646,31647,2013,8,11,14,2,66.66,32.0,SW,32.0,SW,SW
31647,31648,2013,8,11,15,2,66.66,32.0,SW,32.0,SW,SW
31648,31649,2013,8,11,16,2,70.54,31.0,SW,31.0,SW,SW
31649,31650,2013,8,11,17,2,70.54,31.0,SW,31.0,SW,SW
31650,31651,2013,8,11,18,2,74.52,29.0,SW,29.0,SW,SW
31651,31652,2013,8,11,19,2,78.97,28.0,SW,28.0,SW,SW
31652,31653,2013,8,11,20,2,83.71,27.0,SW,27.0,SW,SW
31653,31654,2013,8,11,21,2,88.78,26.0,SW,26.0,SW,SW
31654,31655,2013,8,11,22,2,88.78,26.0,SW,26.0,SW,SW
31655,31656,2013,8,11,23,2,94.2,25.0,SW,25.0,SW,SW
31656,31657,2013,8,12,0,2,88.7,25.0,SE,25.0,SE,SE
31657,31658,2013,8,12,1,2,83.48,25.0,SE,25.0,SE,SE
31658,31659,2013,8,12,2,2,83.48,25.0,SW,25.0,SW,SW
31659,31660,2013,8,12,3,2,88.62,24.0,SE,24.0,SE,SE
31660,31661,2013,8,12,4,2,83.37,24.0,SE,24.0,SE,SE
31661,31662,2013,8,12,5,2,88.62,24.0,SE,24.0,SE,SE
31662,31663,2013,8,12,6,2,88.7,25.0,SE,25.0,SE,SE
31663,31664,2013,8,12,7,2,83.6,26.0,SE,26.0,SE,SE
31664,31665,2013,8,12,8,2,88.78,26.0,SW,26.0,SW,SW
31665,31666,2013,8,12,9,2,74.35,28.0,SW,28.0,SW,SW
31666,31667,2013,8,12,10,2,74.52,29.0,SW,29.0,SW,SW
31667,31668,2013,8,12,11,2,79.11,29.0,SE,29.0,SE,SE
31668,31669,2013,8,12,12,2,79.11,29.0,SE,29.0,SE,SE
31669,31670,2013,8,12,13,2,83.82,28.0,SE,28.0,SE,SE
31670,31671,2013,8,12,14,2,74.69,30.0,SW,30.0,SW,SW
31671,31672,2013,8,12,15,2,79.11,29.0,SW,29.0,SW,SW
31672,31673,2013,8,12,16,2,88.86,27.0,SW,27.0,SW,SW
31673,31674,2013,8,12,17,2,83.82,28.0,SW,28.0,SW,SW
31674,31675,2013,8,12,18,2,74.35,28.0,SW,28.0,SW,SW
31675,31676,2013,8,12,19,2,83.71,27.0,SW,27.0,SW,SW
31676,31677,2013,8,12,20,2,83.71,27.0,SW,27.0,SW,SW
31677,31678,2013,8,12,21,2,83.71,27.0,SW,27.0,SW,SW
31678,31679,2013,8,12,22,2,83.6,26.0,SW,26.0,SW,SW
31679,31680,2013,8,12,23,2,94.2,25.0,SW,25.0,SW,SW
31680,31681,2013,8,13,0,2,88.7,25.0,SW,25.0,SW,SW
31681,31682,2013,8,13,1,2,94.16,24.0,SE,24.0,SE,SE
31682,31683,2013,8,13,2,2,94.12,23.0,SW,23.0,SW,SW
31683,31684,2013,8,13,3,2,94.12,23.0,SW,23.0,SW,SW
31684,31685,2013,8,13,4,2,94.12,23.0,SE,23.0,SE,SE
31685,31686,2013,8,13,5,2,94.07,22.0,SW,22.0,SW,SW
31686,31687,2013,8,13,6,2,94.12,23.0,SW,23.0,SW,SW
31687,31688,2013,8,13,7,2,88.7,25.0,SW,25.0,SW,SW
31688,31689,2013,8,13,8,2,83.71,27.0,SW,27.0,SW,SW
31689,31690,2013,8,13,9,2,74.52,29.0,SW,29.0,SW,SW
31690,31691,2013,8,13,10,2,74.52,29.0,SW,29.0,SW,SW
31691,31692,2013,8,13,11,2,70.36,30.0,SW,30.0,SW,SW
31692,31693,2013,8,13,12,2,70.36,30.0,SW,30.0,SW,SW
31693,31694,2013,8,13,13,2,66.45,31.0,SW,31.0,SW,SW
31694,31695,2013,8,13,14,2,70.54,31.0,SW,31.0,SW,SW
31695,31696,2013,8,13,15,2,66.45,31.0,SW,31.0,SW,SW
31696,31697,2013,8,13,16,2,66.25,30.0,SW,30.0,SW,SW
31697,31698,2013,8,13,17,2,66.25,30.0,SW,30.0,SW,SW
31698,31699,2013,8,13,18,2,74.35,28.0,SE,28.0,SE,SE
31699,31700,2013,8,13,19,2,78.82,27.0,SW,27.0,SW,SW
31700,31701,2013,8,13,20,2,78.68,26.0,SW,26.0,SW,SW
31701,31702,2013,8,13,21,2,83.48,25.0,SW,25.0,SW,SW
31702,31703,2013,8,13,22,2,83.37,24.0,SW,24.0,SW,SW
31703,31704,2013,8,13,23,2,88.62,24.0,SW,24.0,SW,SW
